iter	Passed	Remaining
315	1353	2929
316	1359	2928
317	1365	2928
318	1370	2925
319	1377	2928
320	1384	2929
321	1390	2926
322	1397	2929
323	1403	2928
324	1408	2925
325	1412	2920
326	1417	2917
327	1423	2915
328	1426	2910
329	1432	2907
330	1436	2904
331	1441	2901
332	1445	2895
333	1450	2891
334	1455	2890
335	1460	2886
336	1464	2880
337	1467	2875
338	1472	2870
339	1477	2868
340	1482	2864
341	1485	2858
342	1491	2856
343	1497	2856
344	1501	2850
345	1507	2848
346	1515	2851
347	1519	2847
348	1529	2852
349	1534	2849
350	1540	2848
351	1543	2841
352	1547	2835
353	1550	2830
354	1554	2824
355	1558	2818
356	1561	2812
357	1565	2807
358	1568	2801
359	1572	2795
360	1575	2789
361	1579	2783
362	1584	2780
363	1587	2773
364	1591	2768
365	1594	2762
366	1598	2756
367	1600	2749
368	1604	2743
369	1607	2737
370	1611	2732
371	1615	2726
372	1618	2721
373	1622	2715
374	1626	2710
375	1629	2704
376	1633	2698
377	1636	2692
378	1639	2686
379	1643	2681
380	1646	2675
381	1649	2669
382	1653	2664
383	1657	2658
384	1663	2656
385	1669	2656
386	1673	2651
387	1677	2645
388	1681	2640
389	1685	2635
390	1690	2633
391	1694	2627
392	1698	2623
393	1702	2618
394	1710	2619
395	1713	2614
396	1718	2610
397	1723	2607
398	1727	2602
399	1731	2596
400	1734	2591
401	1739	2588
402	1743	2583
403	1748	2579
404	1753	2575
405	1759	2574
406	1763	2569
407	1767	2564
408	1773	2562
409	1777	2557
410	1781	2552
411	1786	2549
412	1790	2544
413	1793	2539
414	1797	2534
415	1800	2528
416	1804	2523
417	1811	2521
418	1815	2517
419	1819	2512
420	1823	2507
421	1827	2502
422	1831	2497
423	1835	2492
424	1838	2487
425	1843	2484
426	1847	2479
427	1851	2474
428	1856	2470
429	1860	2466
430	1864	2461
431	1870	2459
432	1874	2454
433	1878	2449
434	1882	2445
435	1887	2441
436	1891	2437
437	1895	2432
438	1899	2427
439	1903	2422
440	1909	2420
441	1913	2416
442	1917	2411
443	1923	2408
444	1928	2405
445	1933	2401
446	1940	2400
447	1948	2400
448	1953	2397
449	1957	2392
450	1962	2388
451	1968	2386
452	1973	2383
453	1977	2378
454	1986	2379
455	1990	2374
456	2000	2376
457	2004	2371
458	2011	2370
459	2015	2365
460	2020	2362
461	2024	2357
462	2029	2354
463	2033	2349
464	2037	2344
465	2042	2340
466	2046	2335
467	2051	2332
468	2055	2327
469	2061	2324
470	2064	2318
471	2068	2313
472	2072	2308
473	2076	2304
474	2080	2299
475	2084	2294
476	2088	2289
477	2092	2285
478	2096	2280
479	2102	2277
480	2107	2274
481	2111	2269
482	2115	2264
483	2119	2259
484	2124	2255
485	2128	2251
486	2132	2246
487	2137	2242
488	2143	2240
489	2150	2237
490	2154	2233
491	2158	2228
492	2163	2224
493	2167	2220
494	2171	2215
495	2175	2210
496	2179	2205
497	2183	2200
498	2189	2198
499	2193	2193
500	2197	2189
501	2201	2184
502	2205	2178
503	2208	2173
504	2212	2168
505	2218	2165
506	2222	2160
507	2227	2157
508	2231	2152
509	2236	2149
510	2240	2144
511	2245	2140
512	2250	2136
513	2255	2132
514	2262	2130
515	2268	2127
516	2273	2123
517	2281	2122
518	2285	2117
519	2290	2114
520	2296	2111
521	2300	2106
522	2306	2103
523	2313	2101
524	2317	2096
525	2324	2094
526	2330	2091
527	2335	2088
528	2340	2083
529	2346	2080
530	2350	2076
531	2355	2072
532	2363	2070
533	2367	2065
534	2376	2065
535	2382	2062
536	2386	2057
537	2393	2055
538	2399	2052
539	2407	2051
540	2415	2049
541	2423	2048
542	2434	2048
543	2439	2044
544	2449	2045
545	2454	2040
546	2462	2039
547	2473	2039
548	2480	2037
549	2485	2033
550	2489	2029
551	2494	2024
552	2498	2019
553	2505	2017
554	2510	2012
555	2515	2009
556	2519	2004
557	2523	1998
558	2527	1993
559	2532	1989
560	2536	1984
561	2540	1979
562	2544	1974
563	2549	1970
564	2554	1966
565	2559	1962
566	2564	1958
567	2569	1954
568	2573	1949
569	2577	1944
570	2581	1939
571	2586	1935
572	2591	1930
573	2597	1927
574	2607	1927
575	2611	1922
576	2616	1917
577	2619	1912
578	2627	1910
579	2631	1905
580	2639	1903
581	2645	1899
582	2649	1895
583	2654	1890
584	2660	1887
585	2674	1889
586	2678	1884
587	2686	1882
588	2693	1879
589	2701	1876
590	2708	1874
591	2712	1869
592	2721	1867
593	2729	1865
594	2734	1861
595	2739	1857
596	2743	1852
597	2748	1847
598	2754	1843
599	2759	1839
600	2764	1835
601	2768	1830
602	2775	1827
603	2780	1822
604	2784	1817
605	2790	1814
606	2794	1809
607	2799	1804
608	2803	1800
609	2810	1796
610	2814	1792
611	2818	1787
612	2823	1782
613	2827	1777
614	2833	1773
615	2837	1768
616	2841	1764
617	2847	1760
618	2851	1755
619	2856	1750
620	2860	1745
621	2864	1741
622	2868	1735
623	2872	1731
624	2879	1727
625	2887	1725
626	2892	1720
627	2896	1715
628	2902	1711
629	2906	1706
630	2910	1701
631	2914	1697
632	2918	1692
633	2925	1688
634	2935	1687
635	2939	1682
636	2943	1677
637	2952	1675
638	2962	1673
639	2967	1669
640	2975	1666
641	2985	1664
642	2990	1660
643	3001	1659
644	3006	1654
645	3010	1649
646	3015	1645
647	3027	1644
648	3032	1640
649	3036	1635
650	3043	1631
651	3052	1629
652	3058	1625
653	3067	1622
654	3072	1618
655	3076	1613
656	3081	1608
657	3088	1605
658	3094	1601
659	3099	1596
660	3105	1592
661	3111	1588
662	3115	1583
663	3120	1578
664	3125	1574
665	3129	1569
666	3133	1564
667	3137	1559
668	3143	1555
669	3147	1550
670	3152	1545
671	3157	1541
672	3162	1536
673	3165	1531
674	3170	1526
675	3175	1521
676	3179	1516
677	3183	1511
678	3186	1506
679	3191	1501
680	3195	1497
681	3199	1491
682	3203	1486
683	3208	1482
684	3212	1477
685	3216	1472
686	3220	1467
687	3225	1462
688	3229	1457
689	3233	1452
690	3237	1447
691	3241	1442
692	3245	1437
693	3249	1432
694	3253	1427
695	3262	1424
696	3266	1419
697	3275	1417
698	3282	1413
699	3286	1408
700	3290	1403
701	3294	1398
702	3298	1393
703	3302	1388
704	3306	1383
705	3309	1378
706	3314	1373
707	3318	1368
708	3325	1364
709	3328	1359
710	3332	1354
711	3338	1350
712	3342	1345
713	3346	1340
714	3351	1335
715	3355	1330
716	3360	1326
717	3365	1321
718	3372	1318
719	3376	1312
720	3380	1308
721	3384	1303
722	3388	1298
723	3392	1293
724	3396	1288
725	3400	1283
726	3404	1278
727	3409	1273
728	3414	1269
729	3421	1265
730	3425	1260
731	3432	1256
732	3436	1251
733	3440	1246
734	3444	1241
735	3447	1236
736	3454	1232
737	3457	1227
738	3462	1223
739	3467	1218
740	3474	1214
741	3481	1210
742	3495	1208
743	3503	1205
744	3508	1201
745	3514	1196
746	3523	1193
747	3531	1189
748	3543	1187
749	3572	1190
750	3587	1189
751	3601	1187
752	3615	1185
753	3629	1184
754	3643	1182
755	3655	1179
756	3660	1175
757	3665	1170
758	3670	1165
759	3676	1161
760	3683	1156
761	3690	1152
762	3694	1147
763	3702	1143
764	3709	1139
765	3714	1134
766	3728	1132
767	3737	1129
768	3743	1124
769	3751	1120
770	3754	1115
771	3758	1109
772	3763	1105
773	3766	1099
774	3770	1094
775	3773	1089
776	3779	1084
777	3784	1079
778	3789	1075
779	3794	1070
780	3799	1065
781	3807	1061
782	3810	1056
783	3815	1051
784	3821	1046
785	3828	1042
786	3832	1037
787	3839	1033
788	3844	1028
789	3849	1023
790	3858	1019
791	3862	1014
792	3874	1011
793	3878	1006
794	3883	1001
795	3888	996
796	3891	991
797	3896	986
798	3900	981
799	3904	976
800	3908	971
801	3915	966
802	3919	961
803	3923	956
804	3928	951
805	3932	946
806	3940	942
807	3949	938
808	3953	933
809	3960	929
810	3966	924
811	3972	919
812	3978	915
813	3987	911
814	3994	906
815	4000	902
816	4004	896
817	4009	892
818	4014	887
819	4018	882
820	4023	877
821	4027	872
822	4032	867
823	4038	862
824	4043	857
825	4050	853
826	4055	848
827	4059	843
828	4063	838
829	4070	833
830	4074	828
831	4080	823
832	4088	819
833	4091	814
834	4096	809
835	4108	805
836	4113	801
837	4119	796
838	4124	791
839	4138	788
840	4142	783
841	4152	779
842	4161	775
843	4167	770
844	4174	765
845	4181	761
846	4186	756
847	4195	752
848	4201	747
849	4206	742
850	4211	737
851	4217	732
852	4225	728
853	4229	723
854	4233	717
855	4237	712
856	4243	708
857	4248	703
858	4253	698
859	4260	693
860	4264	688
861	4269	683
862	4274	678
863	4279	673
864	4284	668
865	4292	664
866	4298	659
867	4302	654
868	4307	649
869	4311	644
870	4315	639
871	4320	634
872	4325	629
873	4330	624
874	4338	619
875	4342	614
876	4346	609
877	4350	604
878	4355	599
879	4360	594
880	4365	589
881	4369	584
882	4373	579
883	4379	574
884	4383	569
885	4389	564
886	4393	559
887	4399	554
888	4403	549
889	4408	544
890	4413	539
891	4421	535
892	4426	530
893	4434	525
894	4439	520
895	4443	515
896	4447	510
897	4453	505
898	4457	500
899	4462	495
900	4466	490
901	4471	485
902	4475	480
903	4479	475
904	4486	470
905	4491	465
906	4498	461
907	4503	456
908	4510	451
909	4516	446
910	4519	441
911	4523	436
912	4529	431
913	4533	426
914	4538	421
915	4547	416
916	4552	412
917	4556	407
918	4561	402
919	4565	397
920	4569	391
921	4574	386
922	4578	381
923	4583	376
924	4587	371
925	4591	366
926	4596	361
927	4600	356
928	4604	351
929	4608	346
930	4614	341
931	4619	337
932	4625	332
933	4629	327
934	4634	322
935	4640	317
936	4649	312
937	4653	307
938	4658	302
939	4663	297
940	4667	292
941	4672	287
942	4676	282
943	4681	277
944	4685	272
945	4691	267
946	4697	262
947	4709	258
948	4713	253
949	4720	248
950	4725	243
951	4731	238
952	4736	233
953	4743	228
954	4748	223
955	4752	218
956	4757	213
957	4762	208
958	4766	203
959	4770	198
960	4774	193
961	4779	188
962	4783	183
963	4788	178
964	4792	173
965	4795	168
966	4799	163
967	4803	158
968	4807	153
969	4811	148
970	4815	143
971	4819	138
972	4826	133
973	4830	128
974	4834	123
975	4839	118
976	4843	114
977	4847	109
978	4851	104
979	4855	99
980	4859	94
981	4863	89
982	4867	84
983	4871	79
984	4875	74
985	4879	69
986	4884	64
987	4890	59
988	4894	54
989	4899	49
990	4903	44
991	4907	39
992	4912	34
993	4916	29
994	4920	24
995	4925	19
996	4932	14
997	4936	9
998	4941	4
999	4947	0
