iter	Logloss
492	0.490714173
493	0.4906941484
494	0.4906785635
495	0.4906668722
496	0.4906541482
497	0.4906282017
498	0.4906253214
499	0.4906205441
500	0.4906069812
501	0.4906053517
502	0.4906025442
503	0.4905888278
504	0.4905741391
505	0.4905698297
506	0.4905682318
507	0.4905645121
508	0.4904577464
509	0.490414039
510	0.4904017273
511	0.4903778374
512	0.4903717593
513	0.4903693786
514	0.490366847
515	0.4903557943
516	0.4903455236
517	0.4903163309
518	0.4903016864
519	0.490292111
520	0.4902905755
521	0.4902805177
522	0.4902764855
523	0.4902749439
524	0.490261569
525	0.4902241152
526	0.4902214302
527	0.4902198942
528	0.4902183576
529	0.4902165812
530	0.4902027234
531	0.4902002805
532	0.4901861002
533	0.4901860918
534	0.4901789277
535	0.4901749855
536	0.490173093
537	0.490171683
538	0.4901570929
539	0.4901415532
540	0.4901401693
541	0.4901179325
542	0.4901163045
543	0.4900972386
544	0.4900933807
545	0.49009119
546	0.4900889698
547	0.4900724981
548	0.4900704922
549	0.4900628823
550	0.4900559988
551	0.4900533382
552	0.4900502551
553	0.4900489617
554	0.4900402552
555	0.4900302595
556	0.4900192026
557	0.4900004192
558	0.4899971531
559	0.489988722
560	0.4899822446
561	0.4899598867
562	0.4899551929
563	0.4899047018
564	0.4898764924
565	0.4898528445
566	0.4898293734
567	0.4898280859
568	0.4898015894
569	0.489800338
570	0.4897934323
571	0.4897884235
572	0.4897590744
573	0.4897505064
574	0.4897490106
575	0.489727051
576	0.4897270472
577	0.4897270448
578	0.4896939198
579	0.4896856537
580	0.4896785145
581	0.4896728259
582	0.4896287102
583	0.4896128654
584	0.48959574
585	0.4895870547
586	0.4895831667
587	0.4895743511
588	0.4895496271
589	0.489547129
590	0.4895142108
591	0.4894985913
592	0.4894791832
593	0.4894656566
594	0.4894648523
595	0.4894647081
596	0.4894339445
597	0.4894309288
598	0.489422702
599	0.4894190852
600	0.489406007
601	0.4893741752
602	0.4893652892
603	0.4893627257
604	0.4893579645
605	0.4893370947
606	0.4893242559
607	0.4893212555
608	0.4893114406
609	0.4892970927
610	0.4892958225
611	0.4892956122
612	0.4892946127
613	0.4892851804
614	0.4892821084
615	0.4892808915
616	0.4892788686
617	0.4892501702
618	0.4892485073
619	0.4892453031
620	0.4892390251
621	0.4892308485
622	0.4892306711
623	0.4892236977
624	0.4892236967
625	0.4892131091
626	0.4892101397
627	0.4891872563
628	0.4891724772
629	0.4891711894
630	0.4891697878
631	0.4891680138
632	0.4891610108
633	0.4891457881
634	0.489136704
635	0.4891330096
636	0.4891330092
637	0.4891263178
638	0.4891204827
639	0.4891122031
640	0.4891094932
641	0.4891044774
642	0.4890689896
643	0.4890600508
644	0.4890465056
645	0.4890332782
646	0.4890306813
647	0.4890221893
648	0.4890095501
649	0.4889879854
650	0.4889868603
651	0.4889649291
652	0.4889478198
653	0.4889432228
654	0.4889289282
655	0.4889287719
656	0.4889127466
657	0.4888917245
658	0.4888906387
659	0.4888871872
660	0.4888835793
661	0.4888319423
662	0.488825991
663	0.4888227136
664	0.4888192324
665	0.4888130298
666	0.4888037768
667	0.4887765462
668	0.4887676277
669	0.488747708
670	0.4887396168
671	0.488735667
672	0.4887094192
673	0.4886649205
674	0.4886457072
675	0.4886250196
676	0.4885981603
677	0.4885952896
678	0.4885929349
679	0.4885836653
680	0.4885698567
681	0.4885516112
682	0.4885322375
683	0.4885246827
684	0.488506155
685	0.4885046684
686	0.4884930457
687	0.4884851234
688	0.4884833648
689	0.488481383
690	0.488460527
691	0.4884585773
692	0.4884575541
693	0.4884406804
694	0.4884313071
695	0.4884269439
696	0.4884245566
697	0.4884158331
698	0.4884040626
699	0.4884031208
700	0.4884003147
701	0.4883965066
702	0.4883935124
703	0.4883910604
704	0.4883901097
705	0.4883862797
706	0.488385363
707	0.4883646985
708	0.4883437682
709	0.4883437674
710	0.4883255077
711	0.4882764286
712	0.4882525174
713	0.4882404317
714	0.4882190688
715	0.4882031912
716	0.4882009339
717	0.4881893269
718	0.4881884221
719	0.4881644187
720	0.4881526292
721	0.4881489352
722	0.4881180526
723	0.4881144812
724	0.4881003726
725	0.4880978865
726	0.4880965296
727	0.4880823347
728	0.4880823207
729	0.4880713397
730	0.4880507685
731	0.4880442581
732	0.4880431254
733	0.4880258928
734	0.4880127076
735	0.4880125382
736	0.4879878671
737	0.4879848332
738	0.4879814225
739	0.4879513573
740	0.4879217912
741	0.4879216875
742	0.4879187498
743	0.4879133953
744	0.4879109661
745	0.4879060746
746	0.4879049879
747	0.4879040626
748	0.4879011526
749	0.4878990326
750	0.4878977595
751	0.4878949883
752	0.4878724872
753	0.4878694827
754	0.4878604752
755	0.4878557041
756	0.487847862
757	0.4878412339
758	0.48779722
759	0.4877895465
760	0.4877814673
761	0.487780751
762	0.4877760897
763	0.4877372917
764	0.4877345077
765	0.4877276983
766	0.4877027705
767	0.487698881
768	0.4876978149
769	0.487695517
770	0.4876850728
771	0.4876829202
772	0.4876314149
773	0.4876242592
774	0.4876233651
775	0.4876233651
776	0.4876224948
777	0.487582733
778	0.4875805234
779	0.4875557921
780	0.4875392079
781	0.4875370937
782	0.4875349912
783	0.4875201164
784	0.4875149168
785	0.4875108972
786	0.4875003896
787	0.487486332
788	0.4874820223
789	0.487450022
790	0.4874373391
791	0.4874319906
792	0.4874275011
793	0.4873819906
794	0.4873596211
795	0.4873553115
796	0.4873413237
797	0.4873256306
798	0.4873234804
799	0.4872832052
800	0.4872832021
801	0.4872521227
802	0.4872140118
803	0.4871963258
804	0.4871835026
805	0.4871834737
806	0.487133789
807	0.4871155799
808	0.4871140338
809	0.4870888937
810	0.4870880613
811	0.4870872395
812	0.4870827943
813	0.4870795213
814	0.4870733324
815	0.4870492615
816	0.4870473499
817	0.4870427068
818	0.4870420224
819	0.4870279071
820	0.4870233544
821	0.487002204
822	0.4869940188
823	0.4869803187
824	0.4869457049
825	0.4869367771
826	0.4869332627
827	0.4869203875
828	0.4869063289
829	0.4868987997
830	0.4868903206
831	0.4868515086
832	0.4868419444
833	0.4868240107
834	0.4868127585
835	0.4868017974
836	0.4868010513
837	0.4867890972
838	0.4867867522
839	0.4867812576
840	0.4867382284
841	0.486733217
842	0.4867246025
843	0.4867171829
844	0.4867068175
845	0.4866921521
846	0.4866846211
847	0.486669294
848	0.4866675884
849	0.48663748
850	0.4866366779
851	0.486629419
852	0.4866124017
853	0.4866063484
854	0.4865981133
855	0.4865875601
856	0.486580255
857	0.4865665899
858	0.486562851
859	0.486562104
860	0.486530593
861	0.4865228942
862	0.4865217491
863	0.4865176314
864	0.4864986389
865	0.4864979139
866	0.4864884799
867	0.4864792444
868	0.4864660874
869	0.4864565677
870	0.4864564847
871	0.4864406766
872	0.486435133
873	0.4864312751
874	0.4864175033
875	0.4864128338
876	0.4864045175
877	0.4864010722
878	0.486395963
879	0.4863860016
880	0.4863683991
881	0.4863586981
882	0.4863251588
883	0.4863231562
884	0.4863137696
885	0.4863096875
886	0.4862602788
887	0.4862531532
888	0.4862484677
889	0.4862350576
890	0.4862316883
891	0.4862275385
892	0.4862069592
893	0.4862019141
894	0.4861860652
895	0.4861746415
896	0.4861589746
897	0.4861561415
898	0.4861329002
899	0.4861243049
900	0.4861243043
901	0.4861118907
902	0.4861006945
903	0.4860854703
904	0.486077433
905	0.486069975
906	0.4860600463
907	0.4860340307
908	0.486032407
909	0.4860107361
910	0.4860050112
911	0.4860015629
912	0.4860008442
913	0.4859999836
914	0.4859923063
915	0.485992016
916	0.4859775225
917	0.4859734944
918	0.4859714852
919	0.485957153
920	0.4859493006
921	0.4859424386
922	0.4859360669
923	0.4859189628
924	0.4859096549
925	0.4858722487
926	0.4858701845
927	0.4858681733
928	0.4858525393
929	0.4858341624
930	0.4858323845
931	0.4858098211
932	0.4858058109
933	0.4858023291
934	0.4857953611
935	0.4857946516
936	0.4857605152
937	0.4857582144
938	0.4857400056
939	0.4857378271
940	0.4857354191
941	0.4857335724
942	0.4857182271
943	0.4857103501
944	0.4856679227
945	0.4856581401
946	0.4856580671
947	0.4856580548
948	0.4856430652
949	0.4856381798
950	0.4856326341
951	0.485631118
952	0.4856068558
953	0.4856013433
954	0.4855865201
955	0.4855779481
956	0.4855553418
957	0.4855358021
958	0.4855094746
959	0.4854981983
960	0.4854857632
961	0.4854701829
962	0.485470007
963	0.4854606837
964	0.4854604783
965	0.4854556987
966	0.4854474989
967	0.4854038166
968	0.4854031186
969	0.4854008509
970	0.4853874749
971	0.4853115603
972	0.4853024314
973	0.4853010125
974	0.4852780186
975	0.4852334147
976	0.4852205451
977	0.4852195377
978	0.485174675
979	0.4851482806
980	0.4851380688
981	0.4851273828
982	0.485109051
983	0.485107044
984	0.4851003697
985	0.4850746489
986	0.4850577569
987	0.4850528346
988	0.4850519646
989	0.4850425457
990	0.485034344
991	0.4850293461
992	0.4850157395
993	0.4849772617
994	0.4849753678
995	0.484973618
996	0.4849718845
997	0.4849538548
998	0.4849491816
999	0.4849449705
